year,category,question,answer,percentage,total_answers
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:","Did you do things to scare you, how to scream or break objects?",16,3485
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Insulted you?,16,3485
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Humiliated you in front of other people?,15,3268
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you threaten you or someone close to you?,9,1960
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:","He hit, pushed, threw an object, or did something else to hurt you?",7,1525
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you take or destroy an object or document of yours to harm you?,4,871
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Have you taken your salary or the income of your work?,3,653
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you threaten to use or used a gun against you?,3,653
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you make any financial transaction to harm you?,3,653
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you forced or practiced sexual acts with you against your will?,3,653
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you use intimate photos or videos to blackmail you?,1,217
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you disclose intimate photos or videos on the internet without your permission?,1,217
2021,The violence lived / witnessed,Violence lived in the last 12 months:,Psychological or moral violence,26,780
2021,The violence lived / witnessed,Violence lived in the last 12 months:,Physical violence,9,270
2021,The violence lived / witnessed,Violence lived in the last 12 months:,Violence,7,210
2023,The violence lived / witnessed,The person who assaulted you lives with you?,Yes,80,17429
2023,The violence lived / witnessed,The person who assaulted you lives with you?,No,20,4357
2023,The violence lived / witnessed,The person who assaulted you lives with you?,NS/NR,0,0
2005,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Excellent,21,171
2005,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Good,30,244
2005,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Regular,23,187
2005,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,9,73
2005,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,17,138
2005,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,NS/NR,0,0
2007,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Good,25,199
2007,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,25,199
2007,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Regular,14,111
2007,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Excellent,27,215
2007,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,8,63
2007,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,NS/NR,0,0
2009,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Excellent,44,363
2009,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Good,36,297
2009,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Regular,11,90
2009,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,4,33
2009,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,4,33
2009,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,NS/NR,0,0
2011,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Excellent,31,419
2011,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Good,23,310
2011,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Regular,24,324
2011,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,10,135
2011,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,10,135
2011,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,NS/NR,1,13
2013,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Excellent,22,274
2013,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Good,29,361
2013,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Regular,19,237
2013,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,9,112
2013,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,22,274
2013,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,NS/NR,0,0
2015,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Excellent,25,275
2015,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Good,23,253
2015,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Regular,14,154
2015,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,9,99
2015,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,Bad,29,319
2015,Service and Support Network / Complaint,How do you evaluate the service received at the police station?,NS/NR,0,0
2005,Service and Support Network / Complaint,"After attendance at the police station, the lady:",Went to your home,69,562
2005,Service and Support Network / Complaint,"After attendance at the police station, the lady:",Went to family home,23,187
2005,Service and Support Network / Complaint,"After attendance at the police station, the lady:",Went to friends' house,4,32
